城市,年度,gap,gap_to_gdp
上海,2006,219.5,0.020276387015722284
上海,2007,107.19999999999982,0.00813365908435635
上海,2008,235.17000000000007,0.015807516249806756
上海,2009,449.3499999999999,0.027769537864461662
上海,2010,429.30999999999995,0.023434463634577175
上海,2011,485.0500000000002,0.023769853132151672
上海,2012,440.3100000000004,0.02022098838571017
上海,2013,419.09999999999945,0.01760229153191594
上海,2014,337.8899999999994,0.013013537714956938
上海,2015,672.0600000000004,0.02415605141329041
上海,2016,512.8099999999995,0.01656154424991682
上海,2017,905.3599999999997,0.026335217273687168
上海,2018,1243.3900000000012,0.03292082681345336
上海,2019,1014.1799999999994,0.02520252875162767
上海,2020,1055.8099999999995,0.025377668920461772
上海,2021,659.0600000000004,0.014004853440545362
上海,2022,1785.0,0.03673255203778206
上海,2023,1326.0100000000002,0.02579560155239328
上海,2024,1500.67,0.027914508133446182
乌鲁木齐,2006,-7.509999999999998,-0.01147791532935962
乌鲁木齐,2007,-5.110000000000014,-0.006229580143365697
乌鲁木齐,2008,-1.6300000000000097,-0.001597491056990258
乌鲁木齐,2009,20.33999999999999,0.018575342465753413
乌鲁木齐,2010,11.620000000000005,0.008681359731042214
乌鲁木齐,2011,8.900000000000006,0.005266178706886863
乌鲁木齐,2012,43.59000000000003,0.021750411656105
乌鲁木齐,2013,51.30000000000001,0.02328801325555531
乌鲁木齐,2014,64.19,0.02607791279194953
乌鲁木齐,2015,77.99000000000001,0.029635512456111023
乌鲁木齐,2016,47.889999999999986,0.019475554904879254
乌鲁木齐,2017,57.80000000000001,0.02106552179078803
乌鲁木齐,2018,201.51,0.06500804898427948
乌鲁木齐,2019,147.82,0.04331087020216818
乌鲁木齐,2020,144.23000000000002,0.043221456397962245
乌鲁木齐,2021,41.65999999999997,0.011285171349859265
乌鲁木齐,2022,140.95,0.0362039648414423
乌鲁木齐,2023,134.26,0.03221209213051823
乌鲁木齐,2024,94.21999999999997,0.020927732466193998
兰州,2006,29.990000000000002,0.0469716666405626
