地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
沈阳,2023,610.86,6061.97,530.33,530.33
沈阳,2024,510.47,4916.06,522.57,522.57
沈阳,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
济南,2006,160.05,1071.07,284.66,284.66
济南,2007,193.21,1219.5,320.24,320.24
济南,2008,274.12,1616.94,371.16,371.16
济南,2009,332.56,2131.75,441.06,441.06
济南,2010,484.5,2363.53,531.49,531.49
济南,2011,528.92,3506.34,596.17,596.17
济南,2012,664.01,3819.44,659.56,659.56
济南,2013,721.77,4815.08,822.63,822.63
济南,2014,917.54,5265.66,865.35,865.35
济南,2015,1014.4,6633.99,1192.12,1192.12
济南,2016,1163.94,7920.35,1425.29,1425.29
济南,2017,1232.63,8014.94,1216.27,1216.27
济南,2018,1370.43,9117.03,1236.3,1236.3
济南,2019,1489.38,9431.52,1151.0,1151.0
济南,2020,1707.63,10353.04,1335.75,1335.75
济南,2021,1928.0,10156.54,1548.2,1548.2
济南,2022,1830.8,8678.88,1241.95,1241.95
济南,2023,1489.24,8137.75,1170.22,1170.22
济南,2024,1557.55,8042.65,1036.28,1036.28
济南,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
海口,2006,50.47,710.92,141.64,141.64
海口,2007,59.97,686.75,170.46,170.46
海口,2008,76.17,687.73,176.29,176.29
海口,2009,78.44,675.61,191.78,191.78
海口,2010,103.79,874.24,209.76,209.76
海口,2011,144.64,1180.51,221.8,221.8
海口,2012,175.66,1591.47,266.95,266.95
海口,2013,256.4,1805.89,338.19,338.19
海口,2014,300.47,2252.04,337.66,337.66
海口,2015,456.39,2571.66,373.4,373.4
海口,2016,551.09,3081.9,432.71,432.71
海口,2017,603.25,3336.61,549.59,549.59
海口,2018,609.42,3337.73,393.32,393.32
海口,2019,480.73,3439.31,440.56,440.56
海口,2020,443.67,3370.64,463.74,463.74
海口,2021,452.45,3369.06,484.6,484.6
海口,2022,438.09,3542.17,269.44,269.44
海口,2023,482.25,3810.5,325.79,325.79
海口,2024,442.7,3087.01,381.19,381.19
海口,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
深圳,2006,462.09,3122.1,749.08,749.08
深圳,2007,461.04,3149.56,555.11,555.11
深圳,2008,440.49,3272.12,466.71,466.71
深圳,2009,437.46,3112.36,762.15,762.15
深圳,2010,458.47,2939.94,465.59,465.59
深圳,2011,514.74,2875.98,496.89,496.89
深圳,2012,736.84,3216.69,525.83,525.83
深圳,2013,876.9,4003.49,588.58,588.58
深圳,2014,1069.49,4492.18,532.57,532.57
深圳,2015,1331.03,4978.41,831.46,831.46
深圳,2016,1756.52,5173.99,736.19,736.19
深圳,2017,2130.86,5676.07,671.03,671.03
深圳,2018,2640.71,6747.69,722.01,722.01
深圳,2019,3041.65,7907.85,806.56,806.56
深圳,2020,3537.84,9537.94,908.8,908.8
深圳,2021,2979.08,10319.29,799.59,799.59
深圳,2022,3391.54,10774.8,679.11,679.11
深圳,2023,3787.46,10995.05,762.0,762.0
深圳,2024,3219.45,9850.79,828.67,828.67
深圳,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
石家庄,2006,132.15,960.52,303.53,303.53
石家庄,2007,197.54,921.72,393.58,393.58
石家庄,2008,280.4,1571.47,338.86,338.86
石家庄,2009,378.22,2345.33,349.76,349.76
石家庄,2010,538.0,4251.48,469.31,469.31
石家庄,2011,789.14,4964.46,922.24,922.24
石家庄,2012,833.21,4677.18,768.73,768.73
石家庄,2013,928.15,5200.29,951.21,951.21
石家庄,2014,1025.33,4967.87,888.26,888.26
石家庄,2015,965.13,4083.9,757.82,757.82
石家庄,2016,1015.77,3963.23,798.42,798.42
石家庄,2017,1212.27,4242.72,1027.34,1027.34
石家庄,2018,1010.71,3713.92,844.69,844.69
石家庄,2019,887.64,3891.35,782.28,782.28
石家庄,2020,926.49,3702.6,656.26,656.26
石家庄,2021,951.32,4543.16,720.29,720.29
石家庄,2022,767.2,4338.26,606.06,606.06
石家庄,2023,521.01,3806.5,586.75,586.75
石家庄,2024,516.11,3427.73,490.5,490.5
石家庄,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
福州,2006,296.78,2126.41,664.58,664.58
福州,2007,376.47,2431.91,645.63,645.63
福州,2008,313.61,2520.39,370.66,370.66
福州,2009,361.8,2626.72,690.13,690.13
福州,2010,670.69,3599.46,597.8,597.8
福州,2011,963.41,4939.0,621.04,621.04
福州,2012,972.27,5704.68,841.5,841.5
福州,2013,1264.79,6871.04,1256.49,1256.49
福州,2014,1455.07,7598.91,965.6,965.6
福州,2015,1381.12,7800.01,914.7,914.7
福州,2016,1679.44,7760.77,1221.33,1221.33
福州,2017,1694.18,7947.59,1685.46,1685.46
福州,2018,1439.68,7921.37,1711.05,1711.05
福州,2019,1812.77,8480.51,1708.19,1708.19
福州,2020,2070.23,8662.6,1888.1,1888.1
福州,2021,2248.81,8427.23,2138.49,2138.49
福州,2022,1663.87,7478.88,1419.7,1419.7
福州,2023,1085.97,6152.58,877.41,877.41
福州,2024,944.55,4717.68,739.15,739.15
福州,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
西宁,2006,29.38,418.09,106.44,106.44
西宁,2007,31.6,537.13,139.55,139.55
西宁,2008,45.39,587.96,108.31,108.31
西宁,2009,63.84,723.64,154.68,154.68
西宁,2010,95.4,1146.0,217.1,217.1
西宁,2011,118.55,1284.27,265.61,265.61
西宁,2012,160.14,1479.95,177.04,177.04
西宁,2013,195.58,1840.4,277.8,277.8
西宁,2014,246.86,1808.27,305.71,305.71
西宁,2015,280.43,1893.55,311.86,311.86
西宁,2016,316.5,2146.77,352.6,352.6
西宁,2017,351.33,2235.27,388.22,388.22
西宁,2018,292.25,1875.88,332.22,332.22
西宁,2019,290.99,2084.14,321.24,321.24
西宁,2020,270.4,1824.51,298.97,298.97
西宁,2021,265.78,2036.39,226.64,226.64
西宁,2022,169.93,2009.58,100.21,100.21
西宁,2023,113.17,1909.76,106.15,106.15
西宁,2024,91.95,1539.89,104.57,104.57
西宁,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
西安,2006,285.76,2383.56,621.5,621.5
西安,2007,387.33,2915.95,833.92,833.92
西安,2008,545.71,3653.24,767.23,767.23
西安,2009,694.23,5683.31,1256.02,1256.02
西安,2010,842.34,6697.39,1587.81,1587.81
西安,2011,996.12,8238.88,1768.52,1768.52
西安,2012,1269.93,9893.11,1532.9,1532.9
西安,2013,1572.65,10297.63,1632.85,1632.85
西安,2014,1742.28,12332.19,1696.39,1696.39
西安,2015,1820.85,13332.63,1762.7,1762.7
西安,2016,1955.82,14686.85,2036.18,2036.18
西安,2017,2234.84,15408.82,2459.35,2459.35
西安,2018,2213.68,15238.05,2621.72,2621.72
西安,2019,2008.3,15870.82,2375.41,2375.41
西安,2020,2064.63,14472.23,2081.48,2081.48
西安,2021,1975.28,14452.47,1492.92,1492.92
西安,2022,2061.85,13735.56,1382.76,1382.76
西安,2023,2052.03,13712.3,1265.33,1265.33
西安,2024,2144.76,13117.8,1208.31,1208.31
西安,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
贵阳,2006,107.69,1574.11,387.72,387.72
贵阳,2007,135.44,1936.54,439.28,439.28
贵阳,2008,170.11,2481.99,411.93,411.93
贵阳,2009,210.32,3094.2,818.22,818.22
贵阳,2010,310.47,3985.99,801.56,801.56
贵阳,2011,460.49,4596.2,807.53,807.53
贵阳,2012,901.03,5664.1,1023.84,1023.84
贵阳,2013,978.02,6467.52,1282.01,1282.01
贵阳,2014,1010.38,6815.79,935.55,935.55
贵阳,2015,1001.03,6847.81,959.55,959.55
贵阳,2016,927.32,6086.75,981.87,981.87
贵阳,2017,1024.09,5790.77,1068.67,1068.67
贵阳,2018,985.26,6058.28,1114.56,1114.56
贵阳,2019,1175.37,7961.95,1099.27,1099.27
贵阳,2020,1291.37,7875.4,1235.75,1235.75
贵阳,2021,1120.05,8178.96,1407.55,1407.55
贵阳,2022,753.02,7504.29,829.14,829.14
贵阳,2023,417.78,6930.79,478.21,478.21
贵阳,2024,437.48,5879.2,507.07,507.07
贵阳,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
郑州,2006,229.89,2665.29,800.82,800.82
郑州,2007,298.76,3684.36,1097.9,1097.9
郑州,2008,434.96,4855.18,736.85,736.85
郑州,2009,512.32,5196.5,1197.1,1197.1
郑州,2010,775.16,6255.29,1558.72,1558.72
郑州,2011,926.31,7472.19,1563.22,1563.22
郑州,2012,1095.14,8253.94,1441.87,1441.87
郑州,2013,1445.33,9721.23,1621.89,1621.89
郑州,2014,1743.51,10574.15,1591.91,1591.91
郑州,2015,2000.2,10818.24,1898.67,1898.67
郑州,2016,2778.95,14229.97,2859.18,2859.18
郑州,2017,3358.84,16394.83,3097.81,3097.81
郑州,2018,3258.41,18643.11,3712.11,3712.11
郑州,2019,3349.86,19583.6,3593.27,3593.27
郑州,2020,3428.78,19444.77,3426.06,3426.06
郑州,2021,3088.88,20503.04,2699.38,2699.38
郑州,2022,2158.59,18651.25,1999.36,1999.36
郑州,2023,1863.87,17151.32,2027.8,2027.8
郑州,2024,1864.33,14890.09,1908.95,1908.95
郑州,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
重庆,2006,629.67,8864.37,2228.46,2228.46
重庆,2007,849.9,10578.84,3552.92,3552.92
重庆,2008,991.0,11639.27,2872.19,2872.19
重庆,2009,1238.91,13052.6,4002.89,4002.89
重庆,2010,1620.26,17138.5,4314.39,4314.39
重庆,2011,2015.1,20397.24,4533.5,4533.5
重庆,2012,2508.35,22009.03,4522.4,4522.4
重庆,2013,3012.78,26251.89,4817.56,4817.56
重庆,2014,3630.23,28623.93,5100.39,5100.39
重庆,2015,3751.28,28985.67,5381.37,5381.37
重庆,2016,3725.95,27363.39,6257.15,6257.15
重庆,2017,3980.08,25960.99,6711.0,6711.0
重庆,2018,4248.76,27226.56,6536.25,6536.25
重庆,2019,4439.3,27986.64,6104.68,6104.68
重庆,2020,4351.96,27368.16,6143.47,6143.47
重庆,2021,4354.96,26893.17,6197.71,6197.71
重庆,2022,3216.87,22646.9,4142.92,4142.92
重庆,2023,2796.71,20497.57,3557.25,3557.25
重庆,2024,2565.79,17107.13,2980.17,2980.17
重庆,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
银川,2006,57.68,776.62,239.99,239.99
银川,2007,62.72,836.94,335.97,335.97
银川,2008,78.62,1034.02,307.73,307.73
银川,2009,99.96,1283.9,511.43,511.43
银川,2010,172.13,1886.78,590.04,590.04
银川,2011,214.78,2460.14,489.03,489.03
银川,2012,275.7,2948.53,450.26,450.26
银川,2013,330.81,3522.66,612.11,612.11
银川,2014,388.9,4208.92,724.59,724.59
银川,2015,409.17,4231.36,529.81,529.81
银川,2016,474.94,4272.83,564.86,564.86
银川,2017,402.82,4144.19,595.22,595.22
银川,2018,295.25,3795.57,612.83,612.83
银川,2019,275.35,3799.45,679.38,679.38
银川,2020,311.43,3756.64,751.75,751.75
银川,2021,325.79,3704.85,641.57,641.57
银川,2022,273.8,3320.35,403.71,403.71
银川,2023,266.42,3094.76,350.85,350.85
银川,2024,253.24,2404.75,262.76,262.76
银川,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
长春,2006,171.84,1365.52,408.25,408.25
长春,2007,259.5,2012.6,513.77,513.77
长春,2008,352.89,2202.34,570.64,570.64
长春,2009,443.93,2377.1,715.72,715.72
长春,2010,542.76,3089.42,863.08,863.08
长春,2011,666.42,4075.84,879.14,879.14
长春,2012,649.65,5123.72,908.0,908.0
长春,2013,611.78,5628.42,847.06,847.06
长春,2014,532.57,6058.49,758.84,758.84
长春,2015,501.32,6122.45,799.12,799.12
长春,2016,596.65,6522.22,1017.75,1017.75
长春,2017,573.78,6687.31,1147.19,1147.19
长春,2018,778.63,7216.32,1288.44,1288.44
长春,2019,876.79,7551.8,1342.37,1342.37
长春,2020,996.07,7614.3,1054.41,1054.41
长春,2021,1052.34,8496.34,1027.25,1027.25
长春,2022,661.96,7201.86,540.77,540.77
长春,2023,551.16,6409.17,570.74,570.74
长春,2024,412.51,6208.31,530.41,530.41
长春,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
长沙,2006,303.86,2652.29,741.69,741.69
长沙,2007,407.05,3256.99,978.56,978.56
长沙,2008,493.27,4321.32,858.74,858.74
长沙,2009,497.35,6167.29,1406.58,1406.58
长沙,2010,684.1,6688.87,1680.21,1680.21
长沙,2011,926.01,7578.44,1508.18,1508.18
长沙,2012,1034.35,7376.26,1526.93,1526.93
长沙,2013,1157.63,8696.54,1861.56,1861.56
长沙,2014,1313.62,9688.6,1518.47,1518.47
长沙,2015,1006.84,9304.76,1907.91,1907.91
长沙,2016,1260.55,9679.47,2613.26,2613.26
长沙,2017,1493.44,9814.09,2260.79,2260.79
长沙,2018,1508.72,10702.85,2386.74,2386.74
长沙,2019,1672.96,11878.61,2335.15,2335.15
长沙,2020,1869.88,12746.11,2377.43,2377.43
长沙,2021,2236.88,12958.76,2606.17,2606.17
长沙,2022,2281.48,11720.07,1699.36,1699.36
长沙,2023,1888.7,9763.72,1556.78,1556.78
长沙,2024,1712.98,8240.56,1356.8,1356.8
长沙,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
青岛,2006,268.36,2751.19,718.41,718.41
青岛,2007,322.35,3223.76,833.29,833.29
青岛,2008,380.57,3772.74,770.3,770.3
青岛,2009,459.48,4309.94,1261.86,1261.86
青岛,2010,602.44,5058.4,1360.69,1360.69
青岛,2011,785.82,5698.84,1029.91,1029.91
青岛,2012,932.1,6497.69,950.92,950.92
青岛,2013,1048.52,7072.55,1160.16,1160.16
青岛,2014,1117.73,8170.67,1163.53,1163.53
青岛,2015,1122.35,8971.23,1418.58,1418.58
青岛,2016,1369.14,9100.73,1939.22,1939.22
青岛,2017,1330.54,9532.69,1900.74,1900.74
青岛,2018,1485.21,10390.38,1808.02,1808.02
青岛,2019,1803.81,11579.57,1651.83,1651.83
青岛,2020,2045.12,12528.4,1653.59,1653.59
青岛,2021,1982.34,13022.24,1644.52,1644.52
青岛,2022,1789.87,12056.28,1563.73,1563.73
青岛,2023,1729.32,10443.78,1454.85,1454.85
青岛,2024,1511.79,8130.43,1193.94,1193.94
青岛,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
