地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
南宁,2024,444.12,7167.26,807.38,807.38
南宁,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
南昌,2006,110.75,1341.06,383.51,383.51
南昌,2007,125.6,1525.59,478.99,478.99
南昌,2008,163.3,1825.93,335.48,335.48
南昌,2009,198.25,1782.03,494.69,494.69
南昌,2010,230.15,2146.18,520.84,520.84
南昌,2011,279.89,2610.34,499.13,499.13
南昌,2012,344.36,3123.29,689.86,689.86
南昌,2013,406.14,3992.51,841.49,841.49
南昌,2014,414.07,4244.74,824.66,824.66
南昌,2015,485.37,4458.93,901.02,901.02
南昌,2016,674.6,4982.72,1244.65,1244.65
南昌,2017,790.69,5948.81,1610.43,1610.43
南昌,2018,890.43,6093.95,1846.31,1846.31
南昌,2019,913.04,6611.93,1906.13,1906.13
南昌,2020,971.57,6068.95,1770.83,1770.83
南昌,2021,975.84,5927.1,2019.49,2019.49
南昌,2022,787.42,4982.65,1390.7,1390.7
南昌,2023,496.63,4728.09,717.77,717.77
南昌,2024,473.49,3987.07,690.05,690.05
南昌,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
厦门,2006,213.93,1996.95,433.27,433.27
厦门,2007,345.74,2838.78,497.7,497.7
厦门,2008,327.02,3447.88,389.47,389.47
厦门,2009,267.42,3094.96,529.29,529.29
厦门,2010,396.13,3089.12,426.77,426.77
厦门,2011,438.12,3513.17,445.39,445.39
厦门,2012,518.88,3579.73,615.34,615.34
厦门,2013,531.8,3785.86,786.71,786.71
厦门,2014,704.06,4219.86,790.21,790.21
厦门,2015,774.07,4333.83,570.83,570.83
厦门,2016,765.8,4312.2,528.86,528.86
厦门,2017,879.86,4287.7,527.88,527.88
厦门,2018,884.58,4343.24,529.42,529.42
厦门,2019,899.53,4089.16,540.77,540.77
厦门,2020,1055.76,3616.04,621.82,621.82
厦门,2021,1069.66,3661.02,593.04,593.04
厦门,2022,1064.78,3514.91,607.63,607.63
厦门,2023,1435.6,3443.31,603.79,603.79
厦门,2024,976.06,3234.48,484.68,484.68
厦门,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
合肥,2006,281.81,2504.14,650.31,650.31
合肥,2007,387.53,3169.31,1042.69,1042.69
合肥,2008,567.16,4020.39,933.13,933.13
合肥,2009,670.36,4751.29,1297.95,1297.95
合肥,2010,819.03,5338.63,1004.7,1004.7
合肥,2011,889.6,5699.53,1245.98,1245.98
合肥,2012,913.8,6071.64,1242.48,1242.48
合肥,2013,1105.81,7015.32,1628.09,1628.09
合肥,2014,1127.35,6986.81,1594.79,1594.79
合肥,2015,1259.14,7199.3,1589.21,1589.21
合肥,2016,1352.59,7818.54,2098.34,2098.34
合肥,2017,1557.41,8283.56,1283.4,1283.4
合肥,2018,1527.17,8233.22,1389.58,1389.58
合肥,2019,1556.08,7874.2,1321.87,1321.87
合肥,2020,1546.99,7998.95,1486.11,1486.11
合肥,2021,1466.42,8284.96,1836.59,1836.59
合肥,2022,1457.09,8106.44,1459.18,1459.18
合肥,2023,1544.63,7412.33,1109.25,1109.25
合肥,2024,1582.46,6490.97,974.03,974.03
合肥,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
呼和浩特,2006,94.99,996.56,215.32,215.32
呼和浩特,2007,129.83,1567.12,225.89,225.89
呼和浩特,2008,177.07,1787.12,331.89,331.89
呼和浩特,2009,178.99,1837.76,379.58,379.58
呼和浩特,2010,254.35,2461.13,471.88,471.88
呼和浩特,2011,330.03,3418.0,449.71,449.71
呼和浩特,2012,447.99,4442.06,478.18,478.18
呼和浩特,2013,581.68,5805.39,420.45,420.45
呼和浩特,2014,563.13,5860.47,363.91,363.91
呼和浩特,2015,509.05,5574.45,381.81,381.81
呼和浩特,2016,520.52,5133.32,425.49,425.49
呼和浩特,2017,238.4,4170.59,316.51,316.51
呼和浩特,2018,174.25,3504.62,396.05,396.05
呼和浩特,2019,175.22,3464.82,326.0,326.0
呼和浩特,2020,246.89,3152.4,413.76,413.76
呼和浩特,2021,270.72,3318.21,309.66,309.66
呼和浩特,2022,219.09,3110.87,145.83,145.83
呼和浩特,2023,234.58,2919.84,187.79,187.79
呼和浩特,2024,280.92,2319.75,186.1,186.1
呼和浩特,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
哈尔滨,2006,157.83,1585.62,674.41,674.41
哈尔滨,2007,187.42,1502.22,748.95,748.95
哈尔滨,2008,215.76,1610.76,587.08,587.08
哈尔滨,2009,279.23,1926.63,705.28,705.28
哈尔滨,2010,360.74,2939.04,881.75,881.75
哈尔滨,2011,570.46,4599.29,998.59,998.59
哈尔滨,2012,789.04,5577.06,1195.28,1195.28
哈尔滨,2013,857.94,5947.06,1370.48,1370.48
哈尔滨,2014,686.66,6086.31,1041.05,1041.05
哈尔滨,2015,593.98,5578.78,895.98,895.98
哈尔滨,2016,512.13,4842.49,1057.96,1057.96
哈尔滨,2017,498.59,4482.15,1269.54,1269.54
哈尔滨,2018,584.99,4673.76,1050.58,1050.58
哈尔滨,2019,620.45,5509.27,964.78,964.78
哈尔滨,2020,622.05,5490.29,768.5,768.5
哈尔滨,2021,531.37,5406.34,609.45,609.45
哈尔滨,2022,341.05,5134.83,408.97,408.97
哈尔滨,2023,228.21,4933.32,388.65,388.65
哈尔滨,2024,179.2,4450.94,313.86,313.86
哈尔滨,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2006,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2007,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2008,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2009,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2010,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2011,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2012,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2013,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2014,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2015,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2016,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2017,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2018,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2019,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2020,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2021,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2022,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2023,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2024,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
地区,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
大连,2006,337.23,2196.08,628.78,628.78
大连,2007,407.83,2754.48,828.24,828.24
大连,2008,495.82,3334.94,822.71,822.71
大连,2009,578.94,3489.06,1152.68,1152.68
大连,2010,768.02,5060.54,1215.33,1215.33
大连,2011,1107.46,6193.38,909.91,909.91
大连,2012,1396.52,6213.43,1076.36,1076.36
大连,2013,1710.36,6396.17,1222.13,1222.13
大连,2014,1429.34,6279.66,746.4,746.4
大连,2015,897.46,4911.5,637.33,637.33
大连,2016,535.17,4655.07,707.49,707.49
大连,2017,566.64,4477.89,839.84,839.84
大连,2018,688.51,4219.82,775.95,775.95
大连,2019,711.06,3855.62,658.87,658.87
大连,2020,753.06,3711.92,714.84,714.84
大连,2021,728.95,4099.94,687.71,687.71
大连,2022,608.84,3739.93,434.33,434.33
大连,2023,458.13,3383.46,309.03,309.03
大连,2024,362.42,2894.95,292.72,292.72
大连,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
天津,2006,402.32,4142.6,1458.6,1458.6
天津,2007,505.3,4836.49,1548.59,1548.59
天津,2008,653.72,5704.27,1252.04,1252.04
天津,2009,735.18,6052.16,1590.02,1590.02
天津,2010,866.64,7160.84,1514.52,1514.52
天津,2011,1080.25,9233.98,1594.57,1594.57
天津,2012,1260.0,9864.22,1661.69,1661.69
天津,2013,1480.82,10892.17,1847.11,1847.11
天津,2014,1699.65,10652.37,1612.98,1612.98
天津,2015,1871.55,10230.22,1771.07,1771.07
天津,2016,2300.01,9349.76,2711.08,2711.08
天津,2017,2233.39,8795.82,1482.12,1482.12
天津,2018,2424.49,10324.37,1249.87,1249.87
天津,2019,2727.82,11453.43,1478.68,1478.68
天津,2020,2608.54,12034.51,1306.96,1306.96
天津,2021,2769.98,12627.78,1435.42,1435.42
天津,2022,2127.94,11085.1,973.77,973.77
天津,2023,1232.04,9587.14,1178.51,1178.51
天津,2024,1262.23,7676.99,1183.81,1183.81
天津,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
太原,2006,80.32,1067.16,137.23,137.23
太原,2007,94.82,1168.2,167.23,167.23
太原,2008,121.17,1310.14,182.94,182.94
太原,2009,165.01,1772.7,183.8,183.8
太原,2010,241.09,2366.52,258.82,258.82
太原,2011,310.55,2812.37,216.18,216.18
太原,2012,359.24,3651.05,324.81,324.81
太原,2013,416.23,4184.22,423.31,423.31
太原,2014,469.68,4636.18,419.21,419.21
太原,2015,597.83,4830.54,448.28,448.28
太原,2016,681.9,5716.47,609.84,609.84
太原,2017,470.63,5565.06,786.41,786.41
太原,2018,529.41,6033.42,839.42,839.42
太原,2019,696.54,7063.71,741.1,741.1
太原,2020,714.82,7659.31,781.36,781.36
太原,2021,665.47,8473.83,821.78,821.78
太原,2022,541.41,8110.6,507.37,507.37
