地区,年份,指标,值
厦门,2020,房地产开发投资额,1055.76
南昌,2020,房地产开发投资额,971.57
济南,2020,房地产开发投资额,1707.63
青岛,2020,房地产开发投资额,2045.12
郑州,2020,房地产开发投资额,3428.78
武汉,2020,房地产开发投资额,2777.15
长沙,2020,房地产开发投资额,1869.88
广州,2020,房地产开发投资额,3293.95
深圳,2020,房地产开发投资额,3537.84
南宁,2020,房地产开发投资额,1378.2
海口,2020,房地产开发投资额,443.67
重庆,2020,房地产开发投资额,4351.96
成都,2020,房地产开发投资额,2847.64
贵阳,2020,房地产开发投资额,1291.37
昆明,2020,房地产开发投资额,2263.71
西安,2020,房地产开发投资额,2064.63
兰州,2020,房地产开发投资额,553.77
西宁,2020,房地产开发投资额,270.4
银川,2020,房地产开发投资额,311.43
乌鲁木齐,2020,房地产开发投资额,550.4
北京,2019,房地产开发投资额,3838.38
天津,2019,房地产开发投资额,2727.82
石家庄,2019,房地产开发投资额,887.64
太原,2019,房地产开发投资额,696.54
呼和浩特,2019,房地产开发投资额,175.22
沈阳,2019,房地产开发投资额,1174.8
大连,2019,房地产开发投资额,711.06
长春,2019,房地产开发投资额,876.79
哈尔滨,2019,房地产开发投资额,620.45
上海,2019,房地产开发投资额,4231.38
南京,2019,房地产开发投资额,2501.26
杭州,2019,房地产开发投资额,3396.75
宁波,2019,房地产开发投资额,1703.59
合肥,2019,房地产开发投资额,1556.08
福州,2019,房地产开发投资额,1812.77
厦门,2019,房地产开发投资额,899.53
南昌,2019,房地产开发投资额,913.04
济南,2019,房地产开发投资额,1489.38
青岛,2019,房地产开发投资额,1803.81
郑州,2019,房地产开发投资额,3349.86
武汉,2019,房地产开发投资额,2966.21
长沙,2019,房地产开发投资额,1672.96
广州,2019,房地产开发投资额,3102.26
深圳,2019,房地产开发投资额,3041.65
南宁,2019,房地产开发投资额,1461.08
海口,2019,房地产开发投资额,480.73
重庆,2019,房地产开发投资额,4439.3
成都,2019,房地产开发投资额,2611.71
贵阳,2019,房地产开发投资额,1175.37
昆明,2019,房地产开发投资额,2096.25
西安,2019,房地产开发投资额,2008.3
兰州,2019,房地产开发投资额,550.67
西宁,2019,房地产开发投资额,290.99
银川,2019,房地产开发投资额,275.35
乌鲁木齐,2019,房地产开发投资额,544.13
北京,2018,房地产开发投资额,3873.35
天津,2018,房地产开发投资额,2424.49
石家庄,2018,房地产开发投资额,1010.71
太原,2018,房地产开发投资额,529.41
呼和浩特,2018,房地产开发投资额,174.25
沈阳,2018,房地产开发投资额,996.72
大连,2018,房地产开发投资额,688.51
长春,2018,房地产开发投资额,778.63
哈尔滨,2018,房地产开发投资额,584.99
上海,2018,房地产开发投资额,4033.18
南京,2018,房地产开发投资额,2354.17
杭州,2018,房地产开发投资额,3068.9
宁波,2018,房地产开发投资额,1587.47
合肥,2018,房地产开发投资额,1527.17
福州,2018,房地产开发投资额,1439.68
厦门,2018,房地产开发投资额,884.58
南昌,2018,房地产开发投资额,890.43
济南,2018,房地产开发投资额,1370.43
青岛,2018,房地产开发投资额,1485.21
郑州,2018,房地产开发投资额,3258.41
武汉,2018,房地产开发投资额,2780.01
长沙,2018,房地产开发投资额,1508.72
广州,2018,房地产开发投资额,2701.93
深圳,2018,房地产开发投资额,2640.71
南宁,2018,房地产开发投资额,1106.36
海口,2018,房地产开发投资额,609.42
重庆,2018,房地产开发投资额,4248.76
成都,2018,房地产开发投资额,2273.16
贵阳,2018,房地产开发投资额,985.26
昆明,2018,房地产开发投资额,1839.79
西安,2018,房地产开发投资额,2213.68
兰州,2018,房地产开发投资额,575.22
西宁,2018,房地产开发投资额,292.25
银川,2018,房地产开发投资额,295.25
乌鲁木齐,2018,房地产开发投资额,659.15
北京,2017,房地产开发投资额,3692.54
天津,2017,房地产开发投资额,2233.39
石家庄,2017,房地产开发投资额,1212.27
太原,2017,房地产开发投资额,470.63
呼和浩特,2017,房地产开发投资额,238.4
沈阳,2017,房地产开发投资额,814.24
大连,2017,房地产开发投资额,566.64
长春,2017,房地产开发投资额,573.78
哈尔滨,2017,房地产开发投资额,498.59
上海,2017,房地产开发投资额,3856.53
南京,2017,房地产开发投资额,2170.21
杭州,2017,房地产开发投资额,2734.2
宁波,2017,房地产开发投资额,1374.47
合肥,2017,房地产开发投资额,1557.41
福州,2017,房地产开发投资额,1694.18
厦门,2017,房地产开发投资额,879.86
南昌,2017,房地产开发投资额,790.69
济南,2017,房地产开发投资额,1232.63
青岛,2017,房地产开发投资额,1330.54
郑州,2017,房地产开发投资额,3358.84
武汉,2017,房地产开发投资额,2686.34
长沙,2017,房地产开发投资额,1493.44
广州,2017,房地产开发投资额,2702.89
深圳,2017,房地产开发投资额,2130.86
南宁,2017,房地产开发投资额,958.09
海口,2017,房地产开发投资额,603.25
重庆,2017,房地产开发投资额,3980.08
成都,2017,房地产开发投资额,2492.65
贵阳,2017,房地产开发投资额,1024.09
昆明,2017,房地产开发投资额,1683.33
西安,2017,房地产开发投资额,2234.84
兰州,2017,房地产开发投资额,418.26
西宁,2017,房地产开发投资额,351.33
银川,2017,房地产开发投资额,402.82
乌鲁木齐,2017,房地产开发投资额,422.74
北京,2016,房地产开发投资额,4000.57
天津,2016,房地产开发投资额,2300.01
石家庄,2016,房地产开发投资额,1015.77
太原,2016,房地产开发投资额,681.9
呼和浩特,2016,房地产开发投资额,520.52
沈阳,2016,房地产开发投资额,709.67
大连,2016,房地产开发投资额,535.17
长春,2016,房地产开发投资额,596.65
哈尔滨,2016,房地产开发投资额,512.13
上海,2016,房地产开发投资额,3709.03
南京,2016,房地产开发投资额,1845.6
杭州,2016,房地产开发投资额,2606.41
宁波,2016,房地产开发投资额,1270.33
合肥,2016,房地产开发投资额,1352.59
福州,2016,房地产开发投资额,1679.44
厦门,2016,房地产开发投资额,765.8
南昌,2016,房地产开发投资额,674.6
济南,2016,房地产开发投资额,1163.94
青岛,2016,房地产开发投资额,1369.14
郑州,2016,房地产开发投资额,2778.95
武汉,2016,房地产开发投资额,2517.44
长沙,2016,房地产开发投资额,1260.55
广州,2016,房地产开发投资额,2540.85
深圳,2016,房地产开发投资额,1756.52
南宁,2016,房地产开发投资额,854.0
海口,2016,房地产开发投资额,551.09
重庆,2016,房地产开发投资额,3725.95
成都,2016,房地产开发投资额,2638.89
贵阳,2016,房地产开发投资额,927.32
昆明,2016,房地产开发投资额,1530.5
西安,2016,房地产开发投资额,1955.82
兰州,2016,房地产开发投资额,391.15
西宁,2016,房地产开发投资额,316.5
银川,2016,房地产开发投资额,474.94
乌鲁木齐,2016,房地产开发投资额,362.5
北京,2015,房地产开发投资额,4177.05
天津,2015,房地产开发投资额,1871.55
石家庄,2015,房地产开发投资额,965.13
太原,2015,房地产开发投资额,597.83
呼和浩特,2015,房地产开发投资额,509.05
沈阳,2015,房地产开发投资额,1337.66
大连,2015,房地产开发投资额,897.46
长春,2015,房地产开发投资额,501.32
哈尔滨,2015,房地产开发投资额,593.98
上海,2015,房地产开发投资额,3468.94
南京,2015,房地产开发投资额,1429.02
杭州,2015,房地产开发投资额,2472.6
宁波,2015,房地产开发投资额,1228.84
合肥,2015,房地产开发投资额,1259.14
福州,2015,房地产开发投资额,1381.12
厦门,2015,房地产开发投资额,774.07
南昌,2015,房地产开发投资额,485.37
济南,2015,房地产开发投资额,1014.4
青岛,2015,房地产开发投资额,1122.35
郑州,2015,房地产开发投资额,2000.2
武汉,2015,房地产开发投资额,2581.79
长沙,2015,房地产开发投资额,1006.84
广州,2015,房地产开发投资额,2137.59
深圳,2015,房地产开发投资额,1331.03
南宁,2015,房地产开发投资额,657.19
海口,2015,房地产开发投资额,456.39
重庆,2015,房地产开发投资额,3751.28
成都,2015,房地产开发投资额,2435.25
贵阳,2015,房地产开发投资额,1001.03
昆明,2015,房地产开发投资额,1451.31
西安,2015,房地产开发投资额,1820.85
兰州,2015,房地产开发投资额,320.56
西宁,2015,房地产开发投资额,280.43
银川,2015,房地产开发投资额,409.17
乌鲁木齐,2015,房地产开发投资额,366.87
北京,2014,房地产开发投资额,3715.33
天津,2014,房地产开发投资额,1699.65
石家庄,2014,房地产开发投资额,1025.33
太原,2014,房地产开发投资额,469.68
呼和浩特,2014,房地产开发投资额,563.13
沈阳,2014,房地产开发投资额,1975.82
大连,2014,房地产开发投资额,1429.34
长春,2014,房地产开发投资额,532.57
哈尔滨,2014,房地产开发投资额,686.66
上海,2014,房地产开发投资额,3206.48
南京,2014,房地产开发投资额,1125.49
杭州,2014,房地产开发投资额,2301.98
宁波,2014,房地产开发投资额,1328.14
合肥,2014,房地产开发投资额,1127.35
福州,2014,房地产开发投资额,1455.07
厦门,2014,房地产开发投资额,704.06
南昌,2014,房地产开发投资额,414.07
济南,2014,房地产开发投资额,917.54
青岛,2014,房地产开发投资额,1117.73
郑州,2014,房地产开发投资额,1743.51
武汉,2014,房地产开发投资额,2353.63
长沙,2014,房地产开发投资额,1313.62
广州,2014,房地产开发投资额,1816.15
深圳,2014,房地产开发投资额,1069.49
南宁,2014,房地产开发投资额,551.82
海口,2014,房地产开发投资额,300.47
重庆,2014,房地产开发投资额,3630.23
成都,2014,房地产开发投资额,2215.53
贵阳,2014,房地产开发投资额,1010.38
昆明,2014,房地产开发投资额,1492.62
西安,2014,房地产开发投资额,1742.28
兰州,2014,房地产开发投资额,317.08
西宁,2014,房地产开发投资额,246.86
银川,2014,房地产开发投资额,388.9
乌鲁木齐,2014,房地产开发投资额,329.98
北京,2013,房地产开发投资额,3483.4
天津,2013,房地产开发投资额,1480.82
石家庄,2013,房地产开发投资额,928.15
太原,2013,房地产开发投资额,416.23
呼和浩特,2013,房地产开发投资额,581.68
沈阳,2013,房地产开发投资额,2184.01
大连,2013,房地产开发投资额,1710.36
长春,2013,房地产开发投资额,611.78
哈尔滨,2013,房地产开发投资额,857.94
上海,2013,房地产开发投资额,2819.59
南京,2013,房地产开发投资额,1037.71
杭州,2013,房地产开发投资额,1853.28
宁波,2013,房地产开发投资额,1123.14
合肥,2013,房地产开发投资额,1105.81
福州,2013,房地产开发投资额,1264.79
厦门,2013,房地产开发投资额,531.8
南昌,2013,房地产开发投资额,406.14
济南,2013,房地产开发投资额,721.77
青岛,2013,房地产开发投资额,1048.52
郑州,2013,房地产开发投资额,1445.33
武汉,2013,房地产开发投资额,1905.6
长沙,2013,房地产开发投资额,1157.63
广州,2013,房地产开发投资额,1572.43
深圳,2013,房地产开发投资额,876.9
南宁,2013,房地产开发投资额,416.37
海口,2013,房地产开发投资额,256.4
重庆,2013,房地产开发投资额,3012.78
成都,2013,房地产开发投资额,2111.25
贵阳,2013,房地产开发投资额,978.02
昆明,2013,房地产开发投资额,1291.71
西安,2013,房地产开发投资额,1572.65
兰州,2013,房地产开发投资额,257.44
西宁,2013,房地产开发投资额,195.58
银川,2013,房地产开发投资额,330.81
乌鲁木齐,2013,房地产开发投资额,270.59
北京,2012,房地产开发投资额,3153.44
天津,2012,房地产开发投资额,1260.0
石家庄,2012,房地产开发投资额,833.21
太原,2012,房地产开发投资额,359.24
呼和浩特,2012,房地产开发投资额,447.99
沈阳,2012,房地产开发投资额,1942.96
大连,2012,房地产开发投资额,1396.52
长春,2012,房地产开发投资额,649.65
哈尔滨,2012,房地产开发投资额,789.04
上海,2012,房地产开发投资额,2381.36
南京,2012,房地产开发投资额,971.96
杭州,2012,房地产开发投资额,1597.36
宁波,2012,房地产开发投资额,884.35
合肥,2012,房地产开发投资额,913.8
福州,2012,房地产开发投资额,972.27
厦门,2012,房地产开发投资额,518.88
南昌,2012,房地产开发投资额,344.36
济南,2012,房地产开发投资额,664.01
青岛,2012,房地产开发投资额,932.1
郑州,2012,房地产开发投资额,1095.14
武汉,2012,房地产开发投资额,1574.86
长沙,2012,房地产开发投资额,1034.35
广州,2012,房地产开发投资额,1370.45
深圳,2012,房地产开发投资额,736.84
南宁,2012,房地产开发投资额,362.73
海口,2012,房地产开发投资额,175.66
重庆,2012,房地产开发投资额,2508.35
成都,2012,房地产开发投资额,1889.23
贵阳,2012,房地产开发投资额,901.03
昆明,2012,房地产开发投资额,919.07
西安,2012,房地产开发投资额,1269.93
兰州,2012,房地产开发投资额,209.74
西宁,2012,房地产开发投资额,160.14
银川,2012,房地产开发投资额,275.7
乌鲁木齐,2012,房地产开发投资额,220.69
北京,2011,房地产开发投资额,3036.31
天津,2011,房地产开发投资额,1080.25
