地区,年份,指标,值
青岛,2024,房地产施工面积,8130.43
郑州,2024,房地产施工面积,14890.09
武汉,2024,房地产施工面积,14437.71
长沙,2024,房地产施工面积,8240.56
广州,2024,房地产施工面积,12589.25
深圳,2024,房地产施工面积,9850.79
南宁,2024,房地产施工面积,7167.26
海口,2024,房地产施工面积,3087.01
重庆,2024,房地产施工面积,17107.13
成都,2024,房地产施工面积,16653.38
贵阳,2024,房地产施工面积,5879.2
昆明,2024,房地产施工面积,8558.41
西安,2024,房地产施工面积,13117.8
兰州,2024,房地产施工面积,3782.03
西宁,2024,房地产施工面积,1539.89
银川,2024,房地产施工面积,2404.75
乌鲁木齐,2024,房地产施工面积,5155.57
北京,2023,房地产施工面积,12531.34
天津,2023,房地产施工面积,9587.14
石家庄,2023,房地产施工面积,3806.5
太原,2023,房地产施工面积,7723.63
呼和浩特,2023,房地产施工面积,2919.84
沈阳,2023,房地产施工面积,6061.97
大连,2023,房地产施工面积,3383.46
长春,2023,房地产施工面积,6409.17
哈尔滨,2023,房地产施工面积,4933.32
上海,2023,房地产施工面积,17618.37
南京,2023,房地产施工面积,7467.23
杭州,2023,房地产施工面积,14362.92
宁波,2023,房地产施工面积,9569.29
合肥,2023,房地产施工面积,7412.33
福州,2023,房地产施工面积,6152.58
厦门,2023,房地产施工面积,3443.31
南昌,2023,房地产施工面积,4728.09
济南,2023,房地产施工面积,8137.75
青岛,2023,房地产施工面积,10443.78
郑州,2023,房地产施工面积,17151.32
武汉,2023,房地产施工面积,14456.27
长沙,2023,房地产施工面积,9763.72
广州,2023,房地产施工面积,12676.79
深圳,2023,房地产施工面积,10995.05
南宁,2023,房地产施工面积,9555.77
海口,2023,房地产施工面积,3810.5
重庆,2023,房地产施工面积,20497.57
成都,2023,房地产施工面积,17764.84
贵阳,2023,房地产施工面积,6930.79
昆明,2023,房地产施工面积,10361.0
西安,2023,房地产施工面积,13712.3
兰州,2023,房地产施工面积,4351.16
西宁,2023,房地产施工面积,1909.76
银川,2023,房地产施工面积,3094.76
乌鲁木齐,2023,房地产施工面积,5465.92
北京,2022,房地产施工面积,13333.15
天津,2022,房地产施工面积,11085.1
石家庄,2022,房地产施工面积,4338.26
太原,2022,房地产施工面积,8110.6
呼和浩特,2022,房地产施工面积,3110.87
沈阳,2022,房地产施工面积,6901.03
大连,2022,房地产施工面积,3739.93
长春,2022,房地产施工面积,7201.86
哈尔滨,2022,房地产施工面积,5134.83
上海,2022,房地产施工面积,16678.19
南京,2022,房地产施工面积,7845.46
杭州,2022,房地产施工面积,13281.27
宁波,2022,房地产施工面积,9660.77
合肥,2022,房地产施工面积,8106.44
福州,2022,房地产施工面积,7478.88
厦门,2022,房地产施工面积,3514.91
南昌,2022,房地产施工面积,4982.65
济南,2022,房地产施工面积,8678.88
青岛,2022,房地产施工面积,12056.28
郑州,2022,房地产施工面积,18651.25
武汉,2022,房地产施工面积,15842.6
长沙,2022,房地产施工面积,11720.07
广州,2022,房地产施工面积,12946.25
深圳,2022,房地产施工面积,10774.8
南宁,2022,房地产施工面积,10381.45
海口,2022,房地产施工面积,3542.17
重庆,2022,房地产施工面积,22646.9
成都,2022,房地产施工面积,19338.18
贵阳,2022,房地产施工面积,7504.29
昆明,2022,房地产施工面积,12051.99
西安,2022,房地产施工面积,13735.56
兰州,2022,房地产施工面积,4794.19
西宁,2022,房地产施工面积,2009.58
银川,2022,房地产施工面积,3320.35
乌鲁木齐,2022,房地产施工面积,5529.36
北京,2021,房地产施工面积,14055.32
天津,2021,房地产施工面积,12627.78
石家庄,2021,房地产施工面积,4543.16
太原,2021,房地产施工面积,8473.83
呼和浩特,2021,房地产施工面积,3318.21
沈阳,2021,房地产施工面积,8120.52
大连,2021,房地产施工面积,4099.94
长春,2021,房地产施工面积,8496.34
哈尔滨,2021,房地产施工面积,5406.34
上海,2021,房地产施工面积,16627.9
南京,2021,房地产施工面积,8597.29
杭州,2021,房地产施工面积,13291.26
宁波,2021,房地产施工面积,10778.64
合肥,2021,房地产施工面积,8284.96
福州,2021,房地产施工面积,8427.23
厦门,2021,房地产施工面积,3661.02
南昌,2021,房地产施工面积,5927.1
济南,2021,房地产施工面积,10156.54
青岛,2021,房地产施工面积,13022.24
郑州,2021,房地产施工面积,20503.04
武汉,2021,房地产施工面积,16251.62
长沙,2021,房地产施工面积,12958.76
广州,2021,房地产施工面积,12750.78
深圳,2021,房地产施工面积,10319.29
南宁,2021,房地产施工面积,11246.52
海口,2021,房地产施工面积,3369.06
重庆,2021,房地产施工面积,26893.17
成都,2021,房地产施工面积,19544.1
贵阳,2021,房地产施工面积,8178.96
昆明,2021,房地产施工面积,12826.85
西安,2021,房地产施工面积,14452.47
兰州,2021,房地产施工面积,5576.37
西宁,2021,房地产施工面积,2036.39
银川,2021,房地产施工面积,3704.85
乌鲁木齐,2021,房地产施工面积,6056.27
北京,2020,房地产施工面积,13918.64
天津,2020,房地产施工面积,12034.51
石家庄,2020,房地产施工面积,3702.6
太原,2020,房地产施工面积,7659.31
呼和浩特,2020,房地产施工面积,3152.4
沈阳,2020,房地产施工面积,7111.84
大连,2020,房地产施工面积,3711.92
长春,2020,房地产施工面积,7614.3
哈尔滨,2020,房地产施工面积,5490.29
上海,2020,房地产施工面积,15740.34
南京,2020,房地产施工面积,8663.99
杭州,2020,房地产施工面积,13315.09
宁波,2020,房地产施工面积,10575.61
合肥,2020,房地产施工面积,7998.95
福州,2020,房地产施工面积,8662.6
厦门,2020,房地产施工面积,3616.04
南昌,2020,房地产施工面积,6068.95
济南,2020,房地产施工面积,10353.04
青岛,2020,房地产施工面积,12528.4
郑州,2020,房地产施工面积,19444.77
武汉,2020,房地产施工面积,15565.89
长沙,2020,房地产施工面积,12746.11
广州,2020,房地产施工面积,11878.29
深圳,2020,房地产施工面积,9537.94
南宁,2020,房地产施工面积,10712.49
海口,2020,房地产施工面积,3370.64
重庆,2020,房地产施工面积,27368.16
成都,2020,房地产施工面积,19122.23
贵阳,2020,房地产施工面积,7875.4
昆明,2020,房地产施工面积,11359.07
西安,2020,房地产施工面积,14472.23
兰州,2020,房地产施工面积,5058.56
西宁,2020,房地产施工面积,1824.51
银川,2020,房地产施工面积,3756.64
乌鲁木齐,2020,房地产施工面积,5230.52
北京,2019,房地产施工面积,12514.99
天津,2019,房地产施工面积,11453.43
石家庄,2019,房地产施工面积,3891.35
太原,2019,房地产施工面积,7063.71
呼和浩特,2019,房地产施工面积,3464.82
沈阳,2019,房地产施工面积,6626.56
大连,2019,房地产施工面积,3855.62
长春,2019,房地产施工面积,7551.8
哈尔滨,2019,房地产施工面积,5509.27
上海,2019,房地产施工面积,14802.97
南京,2019,房地产施工面积,9001.67
杭州,2019,房地产施工面积,12000.92
宁波,2019,房地产施工面积,8347.74
合肥,2019,房地产施工面积,7874.2
福州,2019,房地产施工面积,8480.51
厦门,2019,房地产施工面积,4089.16
南昌,2019,房地产施工面积,6611.93
济南,2019,房地产施工面积,9431.52
青岛,2019,房地产施工面积,11579.57
郑州,2019,房地产施工面积,19583.6
武汉,2019,房地产施工面积,13556.46
长沙,2019,房地产施工面积,11878.61
广州,2019,房地产施工面积,11985.91
深圳,2019,房地产施工面积,7907.85
南宁,2019,房地产施工面积,9704.05
海口,2019,房地产施工面积,3439.31
重庆,2019,房地产施工面积,27986.64
成都,2019,房地产施工面积,20619.9
贵阳,2019,房地产施工面积,7961.95
昆明,2019,房地产施工面积,12236.93
西安,2019,房地产施工面积,15870.82
兰州,2019,房地产施工面积,5137.89
西宁,2019,房地产施工面积,2084.14
银川,2019,房地产施工面积,3799.45
乌鲁木齐,2019,房地产施工面积,4862.05
北京,2018,房地产施工面积,12962.61
天津,2018,房地产施工面积,10324.37
石家庄,2018,房地产施工面积,3713.92
太原,2018,房地产施工面积,6033.42
呼和浩特,2018,房地产施工面积,3504.62
沈阳,2018,房地产施工面积,6525.79
大连,2018,房地产施工面积,4219.82
长春,2018,房地产施工面积,7216.32
哈尔滨,2018,房地产施工面积,4673.76
上海,2018,房地产施工面积,14672.37
南京,2018,房地产施工面积,8656.96
杭州,2018,房地产施工面积,11755.16
宁波,2018,房地产施工面积,7472.48
合肥,2018,房地产施工面积,8233.22
福州,2018,房地产施工面积,7921.37
厦门,2018,房地产施工面积,4343.24
南昌,2018,房地产施工面积,6093.95
济南,2018,房地产施工面积,9117.03
青岛,2018,房地产施工面积,10390.38
郑州,2018,房地产施工面积,18643.11
武汉,2018,房地产施工面积,11759.79
长沙,2018,房地产施工面积,10702.85
广州,2018,房地产施工面积,10999.01
深圳,2018,房地产施工面积,6747.69
南宁,2018,房地产施工面积,8129.81
海口,2018,房地产施工面积,3337.73
重庆,2018,房地产施工面积,27226.56
成都,2018,房地产施工面积,19514.56
贵阳,2018,房地产施工面积,6058.28
昆明,2018,房地产施工面积,10293.44
西安,2018,房地产施工面积,15238.05
兰州,2018,房地产施工面积,4314.16
西宁,2018,房地产施工面积,1875.88
银川,2018,房地产施工面积,3795.57
乌鲁木齐,2018,房地产施工面积,4605.11
北京,2017,房地产施工面积,12412.74
天津,2017,房地产施工面积,8795.82
石家庄,2017,房地产施工面积,4242.72
太原,2017,房地产施工面积,5565.06
呼和浩特,2017,房地产施工面积,4170.59
沈阳,2017,房地产施工面积,6967.08
大连,2017,房地产施工面积,4477.89
长春,2017,房地产施工面积,6687.31
哈尔滨,2017,房地产施工面积,4482.15
上海,2017,房地产施工面积,15362.25
南京,2017,房地产施工面积,8163.04
杭州,2017,房地产施工面积,11527.37
宁波,2017,房地产施工面积,6833.12
合肥,2017,房地产施工面积,8283.56
福州,2017,房地产施工面积,7947.59
厦门,2017,房地产施工面积,4287.7
南昌,2017,房地产施工面积,5948.81
济南,2017,房地产施工面积,8014.94
青岛,2017,房地产施工面积,9532.69
郑州,2017,房地产施工面积,16394.83
武汉,2017,房地产施工面积,11912.98
长沙,2017,房地产施工面积,9814.09
广州,2017,房地产施工面积,10658.49
深圳,2017,房地产施工面积,5676.07
南宁,2017,房地产施工面积,7171.62
海口,2017,房地产施工面积,3336.61
重庆,2017,房地产施工面积,25960.99
成都,2017,房地产施工面积,19396.65
贵阳,2017,房地产施工面积,5790.77
昆明,2017,房地产施工面积,10090.2
西安,2017,房地产施工面积,15408.82
兰州,2017,房地产施工面积,4140.2
西宁,2017,房地产施工面积,2235.27
银川,2017,房地产施工面积,4144.19
乌鲁木齐,2017,房地产施工面积,4156.16
北京,2016,房地产施工面积,12976.0
天津,2016,房地产施工面积,9349.76
石家庄,2016,房地产施工面积,3963.23
太原,2016,房地产施工面积,5716.47
呼和浩特,2016,房地产施工面积,5133.32
沈阳,2016,房地产施工面积,7058.07
大连,2016,房地产施工面积,4655.07
长春,2016,房地产施工面积,6522.22
哈尔滨,2016,房地产施工面积,4842.49
上海,2016,房地产施工面积,15111.24
南京,2016,房地产施工面积,7691.41
杭州,2016,房地产施工面积,11567.82
宁波,2016,房地产施工面积,6565.28
合肥,2016,房地产施工面积,7818.54
福州,2016,房地产施工面积,7760.77
厦门,2016,房地产施工面积,4312.2
南昌,2016,房地产施工面积,4982.72
济南,2016,房地产施工面积,7920.35
青岛,2016,房地产施工面积,9100.73
郑州,2016,房地产施工面积,14229.97
武汉,2016,房地产施工面积,11803.1
长沙,2016,房地产施工面积,9679.47
广州,2016,房地产施工面积,10061.92
深圳,2016,房地产施工面积,5173.99
南宁,2016,房地产施工面积,6191.24
海口,2016,房地产施工面积,3081.9
重庆,2016,房地产施工面积,27363.39
成都,2016,房地产施工面积,19880.94
贵阳,2016,房地产施工面积,6086.75
昆明,2016,房地产施工面积,9518.45
西安,2016,房地产施工面积,14686.85
兰州,2016,房地产施工面积,4010.16
西宁,2016,房地产施工面积,2146.77
银川,2016,房地产施工面积,4272.83
乌鲁木齐,2016,房地产施工面积,3855.08
北京,2015,房地产施工面积,12993.08
天津,2015,房地产施工面积,10230.22
石家庄,2015,房地产施工面积,4083.9
太原,2015,房地产施工面积,4830.54
呼和浩特,2015,房地产施工面积,5574.45
沈阳,2015,房地产施工面积,8341.31
大连,2015,房地产施工面积,4911.5
长春,2015,房地产施工面积,6122.45
哈尔滨,2015,房地产施工面积,5578.78
上海,2015,房地产施工面积,15095.33
南京,2015,房地产施工面积,7084.44
杭州,2015,房地产施工面积,11145.9
宁波,2015,房地产施工面积,6737.89
合肥,2015,房地产施工面积,7199.3
福州,2015,房地产施工面积,7800.01
厦门,2015,房地产施工面积,4333.83
南昌,2015,房地产施工面积,4458.93
济南,2015,房地产施工面积,6633.99
青岛,2015,房地产施工面积,8971.23
郑州,2015,房地产施工面积,10818.24
武汉,2015,房地产施工面积,11062.52
长沙,2015,房地产施工面积,9304.76
广州,2015,房地产施工面积,9345.57
深圳,2015,房地产施工面积,4978.41
南宁,2015,房地产施工面积,5174.93
海口,2015,房地产施工面积,2571.66
重庆,2015,房地产施工面积,28985.67
成都,2015,房地产施工面积,18334.84
贵阳,2015,房地产施工面积,6847.81
昆明,2015,房地产施工面积,9200.41
西安,2015,房地产施工面积,13332.63
兰州,2015,房地产施工面积,3800.49
西宁,2015,房地产施工面积,1893.55
银川,2015,房地产施工面积,4231.36
乌鲁木齐,2015,房地产施工面积,3755.8
北京,2014,房地产施工面积,13588.08
天津,2014,房地产施工面积,10652.37
石家庄,2014,房地产施工面积,4967.87
太原,2014,房地产施工面积,4636.18
呼和浩特,2014,房地产施工面积,5860.47
沈阳,2014,房地产施工面积,11495.78
大连,2014,房地产施工面积,6279.66
长春,2014,房地产施工面积,6058.49
哈尔滨,2014,房地产施工面积,6086.31
上海,2014,房地产施工面积,14690.18
南京,2014,房地产施工面积,6540.23
杭州,2014,房地产施工面积,10506.53
宁波,2014,房地产施工面积,7422.16
合肥,2014,房地产施工面积,6986.81
福州,2014,房地产施工面积,7598.91
厦门,2014,房地产施工面积,4219.86
南昌,2014,房地产施工面积,4244.74
济南,2014,房地产施工面积,5265.66
青岛,2014,房地产施工面积,8170.67
郑州,2014,房地产施工面积,10574.15
武汉,2014,房地产施工面积,10238.43
长沙,2014,房地产施工面积,9688.6
广州,2014,房地产施工面积,9369.93
深圳,2014,房地产施工面积,4492.18
南宁,2014,房地产施工面积,4519.36
海口,2014,房地产施工面积,2252.04
重庆,2014,房地产施工面积,28623.93
成都,2014,房地产施工面积,17202.89
贵阳,2014,房地产施工面积,6815.79
昆明,2014,房地产施工面积,8772.72
西安,2014,房地产施工面积,12332.19
兰州,2014,房地产施工面积,3284.56
西宁,2014,房地产施工面积,1808.27
银川,2014,房地产施工面积,4208.92
乌鲁木齐,2014,房地产施工面积,3859.0
北京,2013,房地产施工面积,13886.87
天津,2013,房地产施工面积,10892.17
石家庄,2013,房地产施工面积,5200.29
太原,2013,房地产施工面积,4184.22
呼和浩特,2013,房地产施工面积,5805.39
沈阳,2013,房地产施工面积,11568.29
大连,2013,房地产施工面积,6396.17
长春,2013,房地产施工面积,5628.42
哈尔滨,2013,房地产施工面积,5947.06
上海,2013,房地产施工面积,13516.58
南京,2013,房地产施工面积,6156.48
杭州,2013,房地产施工面积,9327.52
宁波,2013,房地产施工面积,6833.96
合肥,2013,房地产施工面积,7015.32
福州,2013,房地产施工面积,6871.04
厦门,2013,房地产施工面积,3785.86
南昌,2013,房地产施工面积,3992.51
济南,2013,房地产施工面积,4815.08
青岛,2013,房地产施工面积,7072.55
郑州,2013,房地产施工面积,9721.23
武汉,2013,房地产施工面积,8545.13
长沙,2013,房地产施工面积,8696.54
广州,2013,房地产施工面积,8159.31
深圳,2013,房地产施工面积,4003.49
南宁,2013,房地产施工面积,3812.35
海口,2013,房地产施工面积,1805.89
重庆,2013,房地产施工面积,26251.89
成都,2013,房地产施工面积,15239.3
贵阳,2013,房地产施工面积,6467.52
昆明,2013,房地产施工面积,7705.66
西安,2013,房地产施工面积,10297.63
兰州,2013,房地产施工面积,2622.13
西宁,2013,房地产施工面积,1840.4
银川,2013,房地产施工面积,3522.66
乌鲁木齐,2013,房地产施工面积,3351.29
北京,2012,房地产施工面积,13122.49
天津,2012,房地产施工面积,9864.22
石家庄,2012,房地产施工面积,4677.18
太原,2012,房地产施工面积,3651.05
呼和浩特,2012,房地产施工面积,4442.06
沈阳,2012,房地产施工面积,11002.63
大连,2012,房地产施工面积,6213.43
长春,2012,房地产施工面积,5123.72
哈尔滨,2012,房地产施工面积,5577.06
上海,2012,房地产施工面积,13249.97
南京,2012,房地产施工面积,6050.06
杭州,2012,房地产施工面积,8288.95
宁波,2012,房地产施工面积,6080.51
合肥,2012,房地产施工面积,6071.64
福州,2012,房地产施工面积,5704.68
厦门,2012,房地产施工面积,3579.73
南昌,2012,房地产施工面积,3123.29
济南,2012,房地产施工面积,3819.44
青岛,2012,房地产施工面积,6497.69
郑州,2012,房地产施工面积,8253.94
武汉,2012,房地产施工面积,6862.97
长沙,2012,房地产施工面积,7376.26
广州,2012,房地产施工面积,7845.62
深圳,2012,房地产施工面积,3216.69
南宁,2012,房地产施工面积,3747.04
海口,2012,房地产施工面积,1591.47
重庆,2012,房地产施工面积,22009.03
成都,2012,房地产施工面积,14150.98
贵阳,2012,房地产施工面积,5664.1
昆明,2012,房地产施工面积,5885.0
西安,2012,房地产施工面积,9893.11
兰州,2012,房地产施工面积,2342.49
西宁,2012,房地产施工面积,1479.95
银川,2012,房地产施工面积,2948.53
乌鲁木齐,2012,房地产施工面积,2390.52
北京,2011,房地产施工面积,12065.38
天津,2011,房地产施工面积,9233.98
石家庄,2011,房地产施工面积,4964.46
太原,2011,房地产施工面积,2812.37
呼和浩特,2011,房地产施工面积,3418.0
沈阳,2011,房地产施工面积,10201.28
大连,2011,房地产施工面积,6193.38
长春,2011,房地产施工面积,4075.84
哈尔滨,2011,房地产施工面积,4599.29
上海,2011,房地产施工面积,13033.17
南京,2011,房地产施工面积,5644.43
杭州,2011,房地产施工面积,7709.15
宁波,2011,房地产施工面积,5209.81
合肥,2011,房地产施工面积,5699.53
福州,2011,房地产施工面积,4939.0
厦门,2011,房地产施工面积,3513.17
南昌,2011,房地产施工面积,2610.34
济南,2011,房地产施工面积,3506.34
青岛,2011,房地产施工面积,5698.84
郑州,2011,房地产施工面积,7472.19
武汉,2011,房地产施工面积,5994.11
长沙,2011,房地产施工面积,7578.44
广州,2011,房地产施工面积,7692.59
深圳,2011,房地产施工面积,2875.98
南宁,2011,房地产施工面积,3563.05
海口,2011,房地产施工面积,1180.51
重庆,2011,房地产施工面积,20397.24
成都,2011,房地产施工面积,12620.39
贵阳,2011,房地产施工面积,4596.2
昆明,2011,房地产施工面积,4443.6
西安,2011,房地产施工面积,8238.88
兰州,2011,房地产施工面积,1724.04
西宁,2011,房地产施工面积,1284.27
银川,2011,房地产施工面积,2460.14
乌鲁木齐,2011,房地产施工面积,1851.72
北京,2010,房地产施工面积,10300.86
天津,2010,房地产施工面积,7160.84
石家庄,2010,房地产施工面积,4251.48
太原,2010,房地产施工面积,2366.52
呼和浩特,2010,房地产施工面积,2461.13
沈阳,2010,房地产施工面积,8851.45
大连,2010,房地产施工面积,5060.54
长春,2010,房地产施工面积,3089.42
哈尔滨,2010,房地产施工面积,2939.04
上海,2010,房地产施工面积,11295.03
南京,2010,房地产施工面积,4570.49
杭州,2010,房地产施工面积,6227.05
宁波,2010,房地产施工面积,3820.7
合肥,2010,房地产施工面积,5338.63
福州,2010,房地产施工面积,3599.46
厦门,2010,房地产施工面积,3089.12
南昌,2010,房地产施工面积,2146.18
济南,2010,房地产施工面积,2363.53
青岛,2010,房地产施工面积,5058.4
郑州,2010,房地产施工面积,6255.29
武汉,2010,房地产施工面积,5055.86
长沙,2010,房地产施工面积,6688.87
广州,2010,房地产施工面积,6464.12
深圳,2010,房地产施工面积,2939.94
南宁,2010,房地产施工面积,3183.12
海口,2010,房地产施工面积,874.24
重庆,2010,房地产施工面积,17138.5
成都,2010,房地产施工面积,9778.9
贵阳,2010,房地产施工面积,3985.99
昆明,2010,房地产施工面积,3513.74
西安,2010,房地产施工面积,6697.39
兰州,2010,房地产施工面积,1467.21
西宁,2010,房地产施工面积,1146.0
银川,2010,房地产施工面积,1886.78
乌鲁木齐,2010,房地产施工面积,1509.36
北京,2009,房地产施工面积,9719.08
天津,2009,房地产施工面积,6052.16
石家庄,2009,房地产施工面积,2345.33
太原,2009,房地产施工面积,1772.7
呼和浩特,2009,房地产施工面积,1837.76
沈阳,2009,房地产施工面积,6847.89
大连,2009,房地产施工面积,3489.06
长春,2009,房地产施工面积,2377.1
哈尔滨,2009,房地产施工面积,1926.63
上海,2009,房地产施工面积,9949.45
南京,2009,房地产施工面积,4366.07
杭州,2009,房地产施工面积,5140.8
宁波,2009,房地产施工面积,3104.34
合肥,2009,房地产施工面积,4751.29
福州,2009,房地产施工面积,2626.72
厦门,2009,房地产施工面积,3094.96
南昌,2009,房地产施工面积,1782.03
济南,2009,房地产施工面积,2131.75
青岛,2009,房地产施工面积,4309.94
郑州,2009,房地产施工面积,5196.5
武汉,2009,房地产施工面积,4487.38
长沙,2009,房地产施工面积,6167.29
广州,2009,房地产施工面积,5551.91
深圳,2009,房地产施工面积,3112.36
南宁,2009,房地产施工面积,2620.22
海口,2009,房地产施工面积,675.61
重庆,2009,房地产施工面积,13052.6
成都,2009,房地产施工面积,8405.64
贵阳,2009,房地产施工面积,3094.2
昆明,2009,房地产施工面积,2877.58
西安,2009,房地产施工面积,5683.31
兰州,2009,房地产施工面积,1259.19
西宁,2009,房地产施工面积,723.64
银川,2009,房地产施工面积,1283.9
乌鲁木齐,2009,房地产施工面积,1288.66
北京,2008,房地产施工面积,10014.32
天津,2008,房地产施工面积,5704.27
石家庄,2008,房地产施工面积,1571.47
太原,2008,房地产施工面积,1310.14
呼和浩特,2008,房地产施工面积,1787.12
沈阳,2008,房地产施工面积,5848.51
大连,2008,房地产施工面积,3334.94
长春,2008,房地产施工面积,2202.34
哈尔滨,2008,房地产施工面积,1610.76
上海,2008,房地产施工面积,10784.23
南京,2008,房地产施工面积,4097.72
杭州,2008,房地产施工面积,4987.39
宁波,2008,房地产施工面积,3105.35
合肥,2008,房地产施工面积,4020.39
福州,2008,房地产施工面积,2520.39
厦门,2008,房地产施工面积,3447.88
南昌,2008,房地产施工面积,1825.93
济南,2008,房地产施工面积,1616.94
青岛,2008,房地产施工面积,3772.74
郑州,2008,房地产施工面积,4855.18
武汉,2008,房地产施工面积,3798.3
长沙,2008,房地产施工面积,4321.32
广州,2008,房地产施工面积,5543.16
深圳,2008,房地产施工面积,3272.12
南宁,2008,房地产施工面积,2231.86
海口,2008,房地产施工面积,687.73
重庆,2008,房地产施工面积,11639.27
成都,2008,房地产施工面积,7555.15
贵阳,2008,房地产施工面积,2481.99
昆明,2008,房地产施工面积,2177.29
西安,2008,房地产施工面积,3653.24
兰州,2008,房地产施工面积,1088.57
西宁,2008,房地产施工面积,587.96
银川,2008,房地产施工面积,1034.02
乌鲁木齐,2008,房地产施工面积,1044.0
北京,2007,房地产施工面积,10438.65
天津,2007,房地产施工面积,4836.49
石家庄,2007,房地产施工面积,921.72
太原,2007,房地产施工面积,1168.2
呼和浩特,2007,房地产施工面积,1567.12
沈阳,2007,房地产施工面积,5019.85
大连,2007,房地产施工面积,2754.48
长春,2007,房地产施工面积,2012.6
哈尔滨,2007,房地产施工面积,1502.22
上海,2007,房地产施工面积,10766.72
南京,2007,房地产施工面积,3582.75
杭州,2007,房地产施工面积,4775.62
宁波,2007,房地产施工面积,3014.33
合肥,2007,房地产施工面积,3169.31
福州,2007,房地产施工面积,2431.91
厦门,2007,房地产施工面积,2838.78
南昌,2007,房地产施工面积,1525.59
济南,2007,房地产施工面积,1219.5
青岛,2007,房地产施工面积,3223.76
郑州,2007,房地产施工面积,3684.36
武汉,2007,房地产施工面积,3195.41
长沙,2007,房地产施工面积,3256.99
广州,2007,房地产施工面积,5184.85
深圳,2007,房地产施工面积,3149.56
南宁,2007,房地产施工面积,2116.78
海口,2007,房地产施工面积,686.75
重庆,2007,房地产施工面积,10578.84
成都,2007,房地产施工面积,6472.53
贵阳,2007,房地产施工面积,1936.54
昆明,2007,房地产施工面积,1884.1
西安,2007,房地产施工面积,2915.95
兰州,2007,房地产施工面积,983.96
西宁,2007,房地产施工面积,537.13
银川,2007,房地产施工面积,836.94
乌鲁木齐,2007,房地产施工面积,915.33
北京,2006,房地产施工面积,10483.53
天津,2006,房地产施工面积,4142.6
石家庄,2006,房地产施工面积,960.52
太原,2006,房地产施工面积,1067.16
呼和浩特,2006,房地产施工面积,996.56
沈阳,2006,房地产施工面积,3455.96
大连,2006,房地产施工面积,2196.08
长春,2006,房地产施工面积,1365.52
哈尔滨,2006,房地产施工面积,1585.62
上海,2006,房地产施工面积,10938.75
南京,2006,房地产施工面积,3321.96
杭州,2006,房地产施工面积,4548.46
宁波,2006,房地产施工面积,2750.73
合肥,2006,房地产施工面积,2504.14
福州,2006,房地产施工面积,2126.41
厦门,2006,房地产施工面积,1996.95
南昌,2006,房地产施工面积,1341.06
济南,2006,房地产施工面积,1071.07
青岛,2006,房地产施工面积,2751.19
郑州,2006,房地产施工面积,2665.29
武汉,2006,房地产施工面积,2876.92
长沙,2006,房地产施工面积,2652.29
广州,2006,房地产施工面积,4847.76
深圳,2006,房地产施工面积,3122.1
南宁,2006,房地产施工面积,1751.86
海口,2006,房地产施工面积,710.92
重庆,2006,房地产施工面积,8864.37
成都,2006,房地产施工面积,4857.74
贵阳,2006,房地产施工面积,1574.11
昆明,2006,房地产施工面积,1568.76
西安,2006,房地产施工面积,2383.56
兰州,2006,房地产施工面积,908.06
西宁,2006,房地产施工面积,418.09
银川,2006,房地产施工面积,776.62
乌鲁木齐,2006,房地产施工面积,628.64
北京,2024,商品房销售额,1118.65
天津,2024,商品房销售额,1183.81
石家庄,2024,商品房销售额,490.5
太原,2024,商品房销售额,399.01
呼和浩特,2024,商品房销售额,186.1
沈阳,2024,商品房销售额,522.57
大连,2024,商品房销售额,292.72
长春,2024,商品房销售额,530.41
哈尔滨,2024,商品房销售额,313.86
上海,2024,商品房销售额,1656.86
南京,2024,商品房销售额,930.12
杭州,2024,商品房销售额,1038.06
宁波,2024,商品房销售额,796.27
合肥,2024,商品房销售额,974.03
福州,2024,商品房销售额,739.15
厦门,2024,商品房销售额,484.68
南昌,2024,商品房销售额,690.05
济南,2024,商品房销售额,1036.28
青岛,2024,商品房销售额,1193.94
郑州,2024,商品房销售额,1908.95
武汉,2024,商品房销售额,1998.3
长沙,2024,商品房销售额,1356.8
广州,2024,商品房销售额,1159.25
深圳,2024,商品房销售额,828.67
南宁,2024,商品房销售额,807.38
海口,2024,商品房销售额,381.19
重庆,2024,商品房销售额,2980.17
成都,2024,商品房销售额,1968.14
贵阳,2024,商品房销售额,507.07
昆明,2024,商品房销售额,639.02
西安,2024,商品房销售额,1208.31
兰州,2024,商品房销售额,305.75
西宁,2024,商品房销售额,104.57
银川,2024,商品房销售额,262.76
乌鲁木齐,2024,商品房销售额,409.01
北京,2023,商品房销售额,1131.82
天津,2023,商品房销售额,1178.51
石家庄,2023,商品房销售额,586.75
太原,2023,商品房销售额,532.78
呼和浩特,2023,商品房销售额,187.79
沈阳,2023,商品房销售额,530.33
大连,2023,商品房销售额,309.03
长春,2023,商品房销售额,570.74
哈尔滨,2023,商品房销售额,388.65
上海,2023,商品房销售额,1811.71
南京,2023,商品房销售额,906.77
杭州,2023,商品房销售额,1447.34
宁波,2023,商品房销售额,901.56
合肥,2023,商品房销售额,1109.25
福州,2023,商品房销售额,877.41
厦门,2023,商品房销售额,603.79
南昌,2023,商品房销售额,717.77
济南,2023,商品房销售额,1170.22
青岛,2023,商品房销售额,1454.85
郑州,2023,商品房销售额,2027.8
武汉,2023,商品房销售额,1972.96
长沙,2023,商品房销售额,1556.78
广州,2023,商品房销售额,1404.49
