城市,年度,财政收入(亿元),财政支出(亿元),住户存款余额(亿元),地区生产总值(亿元)
重庆,2006,317.72,594.25,2949.05,3949.0
重庆,2007,442.7,768.39,3228.19,4837.5
重庆,2008,577.57,1016.01,3988.96,5978.8
重庆,2009,655.17,1292.09,4908.7,6744.1
重庆,2010,952.07,1709.04,5839.66,8186.5
重庆,2011,1488.33,2570.24,6990.25,10314.1
重庆,2012,1703.49,3046.36,8361.6,11797.8
重庆,2013,1693.24,3062.28,9622.31,13275.8
重庆,2014,1922.02,3304.39,10774.1,14911.7
重庆,2015,2154.83,3792.0,12207.28,16305.9
重庆,2016,2227.91,4001.81,13399.44,18271.1
重庆,2017,2252.38,4336.28,14367.38,20260.8
重庆,2018,2265.54,4540.95,15907.23,21866.8
重庆,2019,2134.93,4847.68,17860.4,23689.6
重庆,2020,2094.85,4893.95,20209.8,25158.1
重庆,2021,2285.45,4835.06,22239.89,28092.5
重庆,2022,2103.42,4892.77,25459.0,28771.8
重庆,2023,2440.77,5304.56,28899.0,30614.3
重庆,2024,2595.55,5621.21,31881.94,32046.7
银川,2006,23.61,36.12,306.38,335.29
银川,2007,27.64,48.47,326.41,408.6
银川,2008,35.81,63.04,423.15,514.11
银川,2009,44.06,72.5,519.4,578.0
银川,2010,64.04,119.92,634.45,769.4
银川,2011,96.62,147.25,725.26,986.68
银川,2012,113.13,186.74,901.47,1150.9
银川,2013,134.6,220.53,1015.22,1289.02
银川,2014,153.6,263.9,1089.89,1388.62
银川,2015,171.28,309.27,1304.97,1493.86
银川,2016,173.2,331.07,1391.35,1617.71
银川,2017,177.46,341.83,1496.94,1803.26
银川,2018,173.25,363.28,1664.8,1901.48
银川,2019,154.71,346.47,1867.01,1897.0
银川,2020,157.26,332.36,2137.48,1964.0
银川,2021,171.19,291.69,2323.5,2262.95
银川,2022,168.86,356.55,2693.87,2535.63
银川,2023,197.76,438.15,3114.73,2686.0
银川,2024,208.44,444.46,3452.75,2939.53
长春,2006,71.59,146.67,1174.6,1741.19
长春,2007,93.3,181.56,1202.08,2089.09
长春,2008,119.03,240.33,1507.39,2561.9
长春,2009,142.65,306.01,1834.16,2849.0
长春,2010,180.85,382.93,2062.72,3329.0
长春,2011,288.63,518.68,2337.78,4003.08
长春,2012,340.8,555.51,2767.38,4456.6
长春,2013,381.82,632.97,3107.16,5003.18
长春,2014,397.32,675.84,3380.11,5342.43
长春,2015,388.22,765.72,3792.78,5530.03
长春,2016,415.49,770.57,4218.09,5986.42
长春,2017,450.08,875.73,4566.99,6530.03
长春,2018,478.01,894.34,4993.24,7175.71
长春,2019,420.02,896.02,5889.09,5904.0
长春,2020,440.43,1084.14,6896.3,6638.0
长春,2021,617.09,966.49,8257.53,7103.1
长春,2022,459.69,976.67,9465.28,6744.56
长春,2023,576.52,1074.97,10750.14,7002.0
长春,2024,427.48,1056.21,11746.76,7632.19
长沙,2006,132.83,167.19,1093.04,1798.96
长沙,2007,174.58,218.17,1177.17,2190.25
长沙,2008,205.57,260.56,1494.93,3000.98
长沙,2009,246.33,314.08,1881.32,3745.0
长沙,2010,314.28,403.33,2172.08,4547.1
长沙,2011,425.78,520.89,2526.93,5619.33
长沙,2012,490.65,624.62,2981.31,6399.9
长沙,2013,536.63,701.82,3482.97,7153.13
长沙,2014,632.8,802.38,3866.79,7824.81
长沙,2015,718.95,925.0,4348.55,8510.13
长沙,2016,743.7,1041.43,4868.64,9356.91
长沙,2017,800.35,1182.6,5200.21,10535.51
长沙,2018,879.71,1300.79,5692.08,11003.41
长沙,2019,950.23,1425.98,6530.52,11574.0
长沙,2020,1100.09,1501.23,7501.64,12143.0
长沙,2021,1188.31,1541.59,8245.94,13270.7
长沙,2022,1202.0,1566.26,9703.39,13966.11
长沙,2023,1227.07,1626.83,11132.35,14332.0
长沙,2024,1264.54,1663.94,12423.85,15268.78
青岛,2006,225.99,236.79,1567.62,3206.58
青岛,2007,292.8,321.18,1702.04,3786.52
青岛,2008,342.44,369.41,2123.36,4436.18
青岛,2009,377.01,433.58,2527.87,4854.0
青岛,2010,452.61,532.39,2912.33,5666.2
青岛,2011,566.14,658.06,3198.51,6615.6
青岛,2012,670.18,765.98,3757.6,7302.1
青岛,2013,788.93,1014.23,4140.59,8006.6
青岛,2014,895.25,1074.71,4435.9,8692.1
青岛,2015,1006.32,1222.87,5023.59,9300.07
青岛,2016,1100.03,1352.85,5326.33,10011.29
青岛,2017,1157.24,1403.03,5394.18,11037.28
青岛,2018,1231.91,1559.78,5913.71,12001.52
青岛,2019,1241.74,1575.97,6755.24,11741.0
青岛,2020,1253.85,1584.65,8030.95,12401.0
青岛,2021,1368.3,1706.76,9028.24,14136.0
青岛,2022,1273.31,1696.17,10948.24,14920.75
青岛,2023,1337.86,1718.8,12758.57,15760.0
青岛,2024,1339.26,1720.42,14168.14,16719.46
