城市,年度,income_growth,expend_growth
上海,2006,,
上海,2007,0.31623595398681537,0.21503478004199228
上海,2008,0.13703193089352506,0.1889553005023652
上海,2009,0.07696873343932165,0.15256060325684673
上海,2010,0.131197102704405,0.10477480641546655
上海,2011,0.193573869528602,0.18528924669002
上海,2012,0.09151473979759928,0.06874795651463139
上海,2013,0.09771055984571464,0.08235859293215597
上海,2014,0.11583862796294442,0.08718569274015642
上海,2015,0.20367240570923872,0.2575678793688967
上海,2016,0.1606359271673159,0.11747927824328586
上海,2017,0.0368600075240435,0.09086362939987924
上海,2018,0.0701402835781797,0.10651304649677651
上海,2019,0.008011929967713272,-0.020626136018027985
上海,2020,-0.01658036873176927,-0.00943481577840588
上海,2021,0.10296183812781168,0.04057584999463115
上海,2022,-0.021076198564039195,0.11412121657814267
上海,2023,0.09259989484752884,0.026137549238794966
上海,2024,0.0074189473684209695,0.024519349982518035
乌鲁木齐,2006,,
乌鲁木齐,2007,0.28734221598877996,0.37936604078336345
乌鲁木齐,2008,0.37518725316628077,0.4541861826697893
乌鲁木齐,2009,0.12438106555753614,0.3475591343734272
乌鲁木齐,2010,0.3034172978685925,0.19218703316402763
乌鲁木齐,2011,0.5513886073383336,0.4942046237704403
乌鲁木齐,2012,0.09765233677424967,0.23946496708457388
乌鲁木齐,2013,0.19796833458989727,0.19485791610284164
乌鲁木齐,2014,0.128254388870487,0.14612117780294454
乌鲁木齐,2015,0.08234983265809404,0.103381833452731
乌鲁木齐,2016,0.00271245287113131,-0.06515022612277799
乌鲁木齐,2017,0.08415613925933929,0.09823737905929675
乌鲁木齐,2018,0.14347023304556106,0.4387674996729032
乌鲁木齐,2019,0.030941782316487698,-0.05988268994680124
乌鲁木齐,2020,-0.1689455191973923,-0.13447152898690906
乌鲁木齐,2021,-0.03746434392828035,-0.21845139419226256
乌鲁木齐,2022,-0.16698859577170377,0.08622703114945551
乌鲁木齐,2023,0.17460771234356143,0.10593062290190236
乌鲁木齐,2024,0.00408339868574048,-0.07644082928280926
兰州,2006,,
兰州,2007,0.4070609535304768,0.3194994455884681
兰州,2008,0.0907141325327041,0.1963985594237696
兰州,2009,0.1215100275265435,0.2023881196066626
兰州,2010,0.2755960729312763,0.22615371776683646
兰州,2011,0.18870258383727312,0.19431021574899598
兰州,2012,0.19932940224303408,0.1545475267836791
兰州,2013,0.20023136990263168,0.19615004935834168
兰州,2014,0.22353413654618493,0.15581414541553196
兰州,2015,0.21571587999737396,0.2281328097108175
兰州,2016,0.16356174739456764,0.23302325581395356
兰州,2017,0.0868758121403379,0.012259524707657565
兰州,2018,0.08163962425277549,0.08449785727594561
兰州,2019,-0.07930680562134851,-0.019285284769349653
兰州,2020,0.05959782189255236,0.06477466824333189
兰州,2021,0.11977501719742656,-0.0033933859822310453
兰州,2022,-0.20145990676833025,0.029323758228605667
兰州,2023,0.15544393157751846,0.008259823576583836
兰州,2024,-0.013394430736693774,0.08892070309393141
北京,2006,,
北京,2007,0.3361142192185471,0.27193794145769723
北京,2008,0.23091971272376455,0.18780842679599874
北京,2009,0.10313391243768089,0.1837808593929433
北京,2010,0.1613964801831449,0.1715767643799826
北京,2011,0.2771322851571629,0.1942759778016574
北京,2012,0.10266841411977579,0.13560826197218678
北京,2013,0.10443056112798765,0.1325125973120307
北京,2014,0.09998333838644546,0.08410124447127942
北京,2015,0.17300032777441166,0.26809247967255057
北京,2016,0.07565846574623314,0.11660944280809393
北京,2017,0.06878805650566977,0.06520602425247035
北京,2018,0.06539195954916321,0.09479041047515357
北京,2019,0.005388944195564349,-0.008464243123471715
北京,2020,-0.05728111945814929,-0.03941718557434393
北京,2021,0.08177042209088814,0.012498278570806098
北京,2022,-0.03673948259615578,0.03664477482678974
北京,2023,0.08167843818030374,0.06722317800552946
北京,2024,0.030994483182605004,0.05334671475615482
南京,2006,,
南京,2007,0.33983931180003246,0.3066372018593311
南京,2008,0.17071988854901732,0.18000233276958078
南京,2009,0.12404283940397343,0.1398670521659624
南京,2010,0.19398863087155638,0.17540702842153189
南京,2011,0.2239784117193524,0.2287616658674243
南京,2012,0.1543622047244093,0.1552813677368996
南京,2013,0.134089110801888,0.10556609411948137
南京,2014,0.0868268155080536,0.08260568097683674
南京,2015,0.12898869937686075,0.13500868432479352
南京,2016,0.12016313245688837,0.12267949539485645
南京,2017,0.1131717136355681,0.1535558508825734
南京,2018,0.1557578759503424,0.13191885325199948
南京,2019,0.07483571652086374,0.081782713085234
南京,2020,0.036499306975184,0.05823035215642269
南京,2021,0.0560664346339379,0.03596790188188903
南京,2022,-0.09905060363569085,0.006029498330335059
南京,2023,0.03964164008702298,0.005473863804144052
南京,2024,-0.014790306053161117,-0.0725730135421766
南宁,2006,,
南宁,2007,0.23896149770399178,0.2677266867211001
南宁,2008,1.7251603706343546,0.4074576271186441
南宁,2009,-0.36988021133022964,0.22561416184971095
南宁,2010,0.2958658475842604,0.28361581920903944
南宁,2011,0.19340166559897498,0.1570345988977344
南宁,2012,0.23313113962102094,0.24544341900697964
南宁,2013,0.1154884206860527,0.11125866510849636
南宁,2014,0.0725853658536586,0.11324091778202683
南宁,2015,0.08077132981626334,0.13083429945467828
南宁,2016,0.05298771250631207,0.11440613608748484
南宁,2017,0.061894561846606244,0.10117891580633076
南宁,2018,0.0807165437302424,0.07986137970512242
南宁,2019,0.03334633385335417,0.13067522457341796
南宁,2020,0.0035586229207666964,0.03884946781550935
南宁,2021,0.05305574210879782,-0.05105749762154521
南宁,2022,0.0017346938775510967,0.07831619537275047
南宁,2023,0.020882143220943172,-0.026760277973132407
南宁,2024,-0.04919177808820585,-0.023870762296688275
南昌,2006,,
南昌,2007,0.28057553956834536,0.25157973653207666
南昌,2008,0.17117633570282043,0.2679274345370528
南昌,2009,0.13441018110621616,0.2266315718431533
南昌,2010,0.2639799792889197,0.27664374140302606
南昌,2011,0.27691677476616383,0.29022109210015956
南昌,2012,0.28332353098433405,0.15412365968533925
南昌,2013,0.216190317473544,0.21377094729530266
南昌,2014,0.17231338426227238,0.1282638243078904
南昌,2015,0.13772245112650117,0.1479837687040324
南昌,2016,0.0329788873478194,0.07378769468684432
南昌,2017,0.037048087920831474,0.11977505743579187
南昌,2018,0.10710175505898145,0.15202413032827033
南昌,2019,0.03302652950730911,0.10858441541181008
南昌,2020,0.014381551362683487,0.0048674635239955855
南昌,2021,0.002004712106807638,0.03798752043141618
南昌,2022,-0.05599900996225482,0.07934391558717713
南昌,2023,0.09285963992309032,-0.014365735218947018
南昌,2024,0.0520412651445481,0.015687969315542283
厦门,2006,,
厦门,2007,0.36983182786223123,0.24841324703072964
厦门,2008,0.1806679890634213,0.19847981475888465
厦门,2009,0.09231258230032235,0.12583476836490415
厦门,2010,0.20207016960425683,0.14512217869800392
厦门,2011,0.2821869488536153,0.26753542922300055
厦门,2012,0.14062626426086267,0.18482535276428402
厦门,2013,0.16005769549076643,0.12095969456375544
厦门,2014,0.10843864655523827,0.06097844176955536
厦门,2015,0.11456417800662022,0.1877245782033743
厦门,2016,0.0690315129516581,0.1650413870417864
厦门,2017,0.07551625150476893,0.05069598228408734
厦门,2018,0.0827557507139065,0.11968385397064352
厦门,2019,0.018342301269647754,0.02294677871148454
厦门,2020,0.020250396939014648,0.07002343972485692
厦门,2021,0.1237594713881165,0.08505389442220879
厦门,2022,0.003235107155829864,0.027113207547169837
厦门,2023,0.05468369898507608,-0.003756636111468259
厦门,2024,0.0012980882700024399,-0.023463790162725373
合肥,2006,,
合肥,2007,1.1324937027707804,0.6238701525901449
合肥,2008,0.3115993385305931,0.33020110126885305
合肥,2009,-0.18542867435158505,0.10623172103487066
合肥,2010,0.4341072415699281,0.2922801594403319
合肥,2011,0.3048221100104074,0.49468085106382964
合肥,2012,0.15063070514903543,0.20470003579776375
合肥,2013,0.1261103979460847,0.10276175493794781
合肥,2014,0.1407140577265058,0.10762573507267503
合肥,2015,0.14230323380101528,0.10571130096309345
合肥,2016,0.07577772334394806,0.11284394170786638
合肥,2017,0.06676425144344145,0.12268418910275058
合肥,2018,0.08627839609696597,0.040990739014233224
合肥,2019,0.047018203764263466,0.1171846234986218
合肥,2020,0.022667864180484942,0.03712578050540216
合肥,2021,0.10659326255079304,0.050989822647829364
合肥,2022,0.0770296842055389,0.1278560455006048
合肥,2023,0.02241407753643121,0.02257676534944708
合肥,2024,0.02730118434215756,0.12025450989839448
呼和浩特,2006,,
呼和浩特,2007,0.27328646748681895,0.3312582781456954
呼和浩特,2008,0.4190821256038648,0.32504228434981597
呼和浩特,2009,0.2983586626139818,0.24012614506682683
呼和浩特,2010,0.18700252832662234,0.07338338580770176
呼和浩特,2011,0.19461975386557273,0.442181859205776
呼和浩特,2012,0.17968698408505568,0.07685688582938943
呼和浩特,2013,0.01892073443797604,0.07089931715821574
呼和浩特,2014,0.16217998022195346,0.05450413783747132
呼和浩特,2015,0.16951876713623903,0.15998198835675903
呼和浩特,2016,0.08993532740501209,0.1644807985581591
呼和浩特,2017,-0.2527350268867049,-0.0403124032669
呼和浩特,2018,0.015980148883374623,-0.11487693529178244
呼和浩特,2019,-0.007815552950371174,0.17149744912261022
呼和浩特,2020,0.06882630957069713,0.04941137059724343
呼和浩特,2021,0.05444495624136336,-0.040632054176072185
呼和浩特,2022,0.008518259654027638,0.000546642899584171
呼和浩特,2023,0.03114306752717977,0.40854672430994343
呼和浩特,2024,0.07166260606569774,-0.019157798876840326
哈尔滨,2006,,
哈尔滨,2007,0.11632428776735138,0.193651119786316
哈尔滨,2008,0.24202953426732288,0.29645408382821237
哈尔滨,2009,0.17895250289616493,0.15647093968865144
哈尔滨,2010,0.23158874637980942,0.30010619672225247
哈尔滨,2011,0.2611069119005627,0.22997107976245657
哈尔滨,2012,0.18114011720831136,0.15514951358724938
哈尔滨,2013,0.13407758231844813,0.10286211504397258
哈尔滨,2014,0.05279904544098635,0.04268928400349403
哈尔滨,2015,-0.03728277295050997,0.11452815911793324
哈尔滨,2016,-0.07723248227994017,0.062375733475583006
哈尔滨,2017,-0.021635126514990444,0.09378173892204633
哈尔滨,2018,0.04419994566693819,0.0038603190501527163
哈尔滨,2019,-0.035018341702005795,0.14443393579097275
哈尔滨,2020,-0.08449489094389484,0.05549703035036413
哈尔滨,2021,0.0772741997231794,-0.1464142826414282
哈尔滨,2022,1.4527231217333871,0.21068114599593568
哈尔滨,2023,-0.651070767936464,-0.10023586541051466
哈尔滨,2024,0.07911968569329542,0.16365318774868132
大连,2006,,
大连,2007,0.3662689915366577,0.29284856671169157
大连,2008,0.26528099111874015,0.1898888469686857
大连,2009,0.18037573362432546,0.1491707317073172
大连,2010,0.25135547060440233,0.29779692673401814
大连,2011,0.3001018309606054,0.20192323417338542
大连,2012,0.1520126549229801,0.2122894385936267
大连,2013,0.13338043753582807,0.21614887312561715
大连,2014,-0.08151406794015237,-0.08682651309596312
大连,2015,-0.2573444663576058,-0.07960907970003839
大连,2016,0.055163732303288526,-0.044372947984495315
大连,2017,0.07475077627063254,0.056947189410304855
大连,2018,0.07047928958092586,0.08876543746738563
大连,2019,-0.015838293157573236,0.014767995686427282
大连,2020,0.014202413255585578,-0.014070925335537443
大连,2021,0.04969545169920875,-0.021886664404479172
大连,2022,-0.0919604121475055,0.011254527830212746
大连,2023,0.12014572166564652,0.022621786334100058
大连,2024,0.03269620388142447,0.07068574247656656
天津,2006,,
天津,2007,0.2958638052991249,0.24158565326263082
天津,2008,0.2501295240914809,0.28678836771313754
天津,2009,0.21664545158521054,0.2956714147420827
天津,2010,0.3002712928381124,0.22464154836873362
天津,2011,0.36144871399032596,0.3046759245809245
天津,2012,0.20952767106718984,0.1931048304042131
天津,2013,0.18127634913239632,0.18943547295878616
天津,2014,0.1497207886218357,0.1316054777754676
天津,2015,0.11578220762649827,0.12051513155614102
天津,2016,0.02114273502030284,0.14450167834547623
天津,2017,-0.15169451073985674,-0.11269033337568213
天津,2018,-0.0883498675531087,-0.05464670651385817
天津,2019,0.14441374202370105,0.14583521313757597
天津,2020,-0.20216477694666057,-0.11372131023058685
天津,2021,0.11333205068872809,0.00038078918558714925
天津,2022,-0.13748797324689632,-0.13408827774341414
天津,2023,0.09791573030665668,0.2016938783733786
天津,2024,0.052621195456495906,0.1057059766737185
太原,2006,,
太原,2007,0.1737687508296828,0.6327813875497801
太原,2008,0.3223252657769735,-0.01887034659820286
太原,2009,0.005217242559014679,0.046120633259191246
太原,2010,0.17825236109929365,0.18591707835657556
太原,2011,0.2616984402079723,0.2619173170217255
太原,2012,0.234375,0.159333082612511
太原,2013,0.14679834932999491,0.15019463667820077
太原,2014,0.046577447135406125,0.01121870201497921
太原,2015,0.0594552829824222,0.30152778208187425
太原,2016,0.030812427071178483,0.009714517012309853
太原,2017,0.1031518624641834,0.12967198811516978
太原,2018,0.1968253968253968,0.13234250407047132
太原,2019,0.03587600139324265,0.12552077572539888
太原,2020,-0.02115772593244014,0.0602571451969538
太原,2021,0.1189092062149879,-0.02834677294775545
太原,2022,0.03315699981107123,0.13817389783621348
太原,2023,0.026881228856176165,0.08571029473390146
太原,2024,-0.019989315288042042,-0.04230244705761266
宁波,2006,,
宁波,2007,0.2787318361955087,0.2676460539801846
宁波,2008,0.18616310160427796,0.18426584734799478
宁波,2009,0.10863495478880103,0.15172617828451784
宁波,2010,0.22673290203327157,0.1870455263989883
宁波,2011,0.23848718286779813,0.24965875420314942
宁波,2012,0.1033381491901757,0.10352728047740833
宁波,2013,0.09277739490006875,0.13452995992467764
宁波,2014,0.08551859840314835,0.06486929321516355
宁波,2015,0.16941471746784242,0.2515636552564795
宁波,2016,0.10744130125893037,0.029234257248690776
宁波,2017,0.11731297216788983,0.09411600452973024
宁波,2018,0.10792666768383286,0.1300864880192827
宁波,2019,0.06437678029122473,0.10902076406749894
宁波,2020,0.028825135681745495,-0.014593668158086825
宁波,2021,0.14051785761563118,0.11614210517252266
宁波,2022,-0.024902213401116646,0.12517357361063963
宁波,2023,0.06286639329139465,0.02161065174763821
宁波,2024,0.0025813893586283942,-0.0021117717854762796
广州,2006,,
广州,2007,0.22644469420249136,0.23066753487637892
广州,2008,0.18719334084270423,0.14375731533293767
广州,2009,0.1299530425833011,0.1073386135837946
广州,2010,0.24194122251476546,0.23723921409763027
